"No.","Time","Source","Destination","Protocol","Length","Info"
"42","1.670760","172.16.165.165","172.16.165.2","DNS","72","Standard query 0xcab7 A ssl.bing.com"
"43","1.706410","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"44","1.706411","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"45","1.806484","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"46","1.806484","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"47","1.906978","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"48","1.906978","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"49","2.007437","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"50","2.007437","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"51","2.020702","172.16.165.165","204.79.197.200","TCP","874","49431  >  80 [PSH, ACK] Seq=1 Ack=1 Win=63330 Len=820 [TCP segment of a reassembled PDU]"
"52","2.020811","172.16.165.165","204.79.197.200","HTTP/XML","1002","POST /fd/ls/lsp.aspx HTTP/1.1 "
"53","2.020884","204.79.197.200","172.16.165.165","TCP","60","80  >  49431 [ACK] Seq=1 Ack=821 Win=64240 Len=0"
"54","2.020884","204.79.197.200","172.16.165.165","TCP","60","80  >  49431 [ACK] Seq=1 Ack=1769 Win=64240 Len=0"
"55","2.107396","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"56","2.107397","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"57","2.208377","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"58","2.208378","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"59","2.308926","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"60","2.308927","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"61","2.409408","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"62","2.409409","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"63","2.510397","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"64","2.510398","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"65","2.590691","172.16.165.2","172.16.165.165","DNS","148","Standard query response 0xcab7 A ssl.bing.com CNAME ssl-bing-com.a-0001.a-msedge.net CNAME a-0001.a-msedge.net A 204.79.197.200"
"66","2.591091","172.16.165.165","204.79.197.200","TCP","66","49436  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"67","2.610502","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"68","2.610502","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"69","2.711564","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"70","2.711695","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"71","2.812174","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"72","2.812175","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"73","2.913033","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"74","2.913034","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"75","3.014066","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"76","3.015003","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"77","3.115081","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"78","3.115082","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"79","3.215862","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"80","3.215862","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"81","3.316125","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"82","3.316126","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"83","3.416623","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"84","3.416624","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"85","3.512388","204.79.197.200","172.16.165.165","TCP","60","443  >  49436 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"86","3.512489","172.16.165.165","204.79.197.200","TCP","54","49436  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"87","3.512628","204.79.197.200","172.16.165.165","HTTP","324","HTTP/1.1 204 No Content "
"88","3.513578","172.16.165.165","204.79.197.200","SSLv2","126","Client Hello"
"89","3.514406","204.79.197.200","172.16.165.165","TCP","60","443  >  49436 [ACK] Seq=1 Ack=73 Win=64240 Len=0"
"90","3.516600","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"91","3.516600","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"92","3.612602","204.79.197.200","172.16.165.165","TCP","324","[TCP Retransmission] 80  >  49431 [PSH, ACK] Seq=1 Ack=1769 Win=64240 Len=270"
"93","3.612625","172.16.165.165","204.79.197.200","TCP","54","49431  >  80 [ACK] Seq=1769 Ack=271 Win=63060 Len=0"
"94","3.616587","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"95","3.616587","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"96","3.716863","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"97","3.716864","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"98","3.764152","fe80::8db6:2c7:a019:4d88","ff02::1:2","DHCPv6","154","Solicit XID: 0xe1700d CID: 000100011ae542f7000c2932e267 "
"99","3.816715","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"100","3.816716","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"101","3.917810","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"102","3.917811","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"103","4.017968","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"104","4.017969","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"105","4.118090","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"106","4.118091","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"107","4.218187","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"108","4.218188","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"109","4.237852","172.16.165.165","204.79.197.200","HTTP","861","GET /fd/ls/GLinkPing.aspx?IG=aee5908ea2d64991aa8b8996fd170a75&&ID=SERP,5091.1 HTTP/1.1 "
"110","4.238029","204.79.197.200","172.16.165.165","TCP","60","80  >  49429 [ACK] Seq=1 Ack=808 Win=64240 Len=0"
"111","4.311646","204.79.197.200","172.16.165.165","TCP","1409","443  >  49436 [PSH, ACK] Seq=1 Ack=73 Win=64240 Len=1355 [TCP segment of a reassembled PDU]"
"112","4.318171","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"113","4.318172","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"114","4.345949","172.16.165.165","204.79.197.200","TCP","54","49436  >  443 [FIN, ACK] Seq=73 Ack=1356 Win=62885 Len=0"
"115","4.346546","204.79.197.200","172.16.165.165","TCP","60","443  >  49436 [ACK] Seq=1356 Ack=74 Win=64239 Len=0"
"116","4.361159","172.16.165.165","172.16.165.2","DNS","78","Standard query 0x1db1 A www.ciniholland.nl"
"117","4.417204","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"118","4.417205","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"119","4.475182","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"120","4.475184","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"121","4.594887","204.79.197.200","172.16.165.165","TCP","1514","443  >  49436 [ACK] Seq=1356 Ack=74 Win=64239 Len=1460 [TCP segment of a reassembled PDU]"
"122","4.594888","204.79.197.200","172.16.165.165","TLSv1","598","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"123","4.594944","172.16.165.165","204.79.197.200","TCP","54","49436  >  443 [RST, ACK] Seq=74 Ack=2816 Win=0 Len=0"
"124","4.618826","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"125","4.618827","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"126","4.719875","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"127","4.719876","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"128","4.820928","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"129","4.820929","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"130","4.883832","204.79.197.200","172.16.165.165","HTTP","462","HTTP/1.1 200 OK  (GIF89a)"
"131","4.921249","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"132","4.921251","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"133","4.983881","204.79.197.200","172.16.165.165","TCP","462","[TCP Retransmission] 80  >  49429 [PSH, ACK] Seq=1 Ack=808 Win=64240 Len=408"
"134","4.983902","172.16.165.165","204.79.197.200","TCP","54","49429  >  80 [ACK] Seq=808 Ack=409 Win=63832 Len=0"
"135","5.021797","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"136","5.021798","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"137","5.121860","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"138","5.121860","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"139","5.169421","172.16.165.2","172.16.165.165","DNS","94","Standard query response 0x1db1 A www.ciniholland.nl A 82.150.140.30"
"140","5.170000","172.16.165.165","82.150.140.30","TCP","66","49437  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"141","5.221857","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"142","5.221857","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"143","5.322359","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"144","5.322360","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"145","5.422656","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"146","5.422657","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"147","5.523051","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"148","5.523051","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"149","5.623539","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"150","5.623540","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"151","5.723651","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"152","5.723652","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"153","5.824777","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"154","5.824778","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"155","5.925818","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"156","5.925943","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"157","6.026941","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"158","6.026942","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"159","6.072308","82.150.140.30","172.16.165.165","TCP","60","80  >  49437 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"160","6.072349","172.16.165.165","82.150.140.30","TCP","54","49437  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"161","6.073686","172.16.165.165","82.150.140.30","HTTP","621","GET / HTTP/1.1 "
"162","6.073791","82.150.140.30","172.16.165.165","TCP","60","80  >  49437 [ACK] Seq=1 Ack=568 Win=64240 Len=0"
"163","6.127175","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"164","6.127176","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"165","6.227272","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"166","6.227273","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"167","6.329786","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49433 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"168","6.329787","204.79.197.200","172.16.165.165","TCP","60","[TCP Retransmission] 80  >  49432 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
